EntrezGeneID	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
63913	8775	7962	16834	19690	26428	22436	97	111	141	133	112	111
66967	2329	1995	2377	1890	2243	1871	1895	2296	3329	2926	2514	2395
69399	3790	3303	5778	5854	5802	5174	1611	1676	2630	2099	1366	1267
66637	247	192	237	239	237	227	191	140	72	53	81	41
269132	1760	1573	3276	3875	3394	3207	192	72	18	26	10	9
19731	1791	1742	817	884	658	681	66	113	65	41	27	19
100861876	13	15	13	14	17	20	1	2	2	0	0	0
71281	1	0	0	0	0	0	0	0	0	0	0	0
67771	2509	2718	6344	5491	4702	3915	3178	3646	4194	4599	1478	1528
100503084	1	0	5	0	0	0	1	2	0	0	0	3
17970	8	11	16	13	1	4	20	27	99	97	10	6
226517	2480	2031	2215	1728	1396	1534	2646	2926	2819	2442	984	947
226518	4	10	6	6	4	5	9	42	5	0	2	0
16782	22430	24365	29638	35972	40850	29923	3781	4310	1709	2467	979	892
226519	15081	16172	24126	21166	19952	17530	4137	3638	1998	1684	949	982
626058	1	10	2	0	0	0	1	1	0	0	0	1
71836	2	2	3	1	1	0	3	5	5	2	1	0
13211	9528	8540	9158	7909	5727	5155	7916	7918	7052	5923	2687	2723
74091	26	54	37	57	20	7	1	8	74	98	4	8
67792	5	9	42	16	4	2	0	2	680	660	58	69
329271	1	1	6	3	2	0	0	0	8	9	3	2
19734	1176	1491	1276	869	371	629	347	465	5196	8997	2085	2424
24014	44	77	139	110	18	20	671	1200	2409	3336	550	525
240816	0	5	5	12	10	20	1	3	0	0	0	0
240817	1	0	0	3	3	4	1	0	0	2	0	1
433365	0	0	0	1	0	0	0	0	0	0	0	0
240819	0	0	0	0	0	1	0	1	0	0	0	0
14645	2829	2610	3362	4059	5786	5431	12830	15838	6205	7177	3509	3148
100861882	0	0	0	0	0	0	0	0	0	0	0	0
207678	0	0	0	1	0	0	1	0	1	1	9	21
78112	0	0	0	0	0	0	0	0	0	0	0	0
12290	2	8	1	1	0	3	1	1	2	4	0	1
15939	6525	7015	7321	7495	3154	3391	14413	16841	10830	11998	5041	4928
